zipcode,sources,pdb_org_id,state,city,region,url,longitude,prefixes,latitude,pch_id,ix_id,country,address,name,iata,alternatenames,geo_id,org_id,pdb_id
,"['pdb', 'he']",8440,,,Asia-Pacific,https://www.bbix.net/,,"{'ipv4': ['101.203.80.0/23', '101.203.86.0/23'], 'ipv6': ['2001:de8:c:240::/64', '2001:de8:c:241::/64']}",,,1664,JP,,BBIX MAPS,,[],,8440,4067
,"['pdb', 'he']",8440,,,Asia-Pacific,https://bbix.com.ph,,"{'ipv4': ['61.245.0.0/22'], 'ipv6': ['2001:ded:4000::/64']}",,,1785,PH,,BBIX Manila,,[],,8440,4274
MRS1: 13003  MRS2/3: 13015,"['pdb', 'he']",8440,,Marseille,Europe,https://www.bbix.net/en/,,"{'ipv4': ['101.203.77.0/24'], 'ipv6': ['2403:c780:7200:b077::/64']}",,,1185,FR,"MRS1: 40 Avenue Roger SalengroMRS2/3: Port of Marseille, Gate 4; Chemin du Littoral",BBIX Marseille,,['BroadBand Internet eXchange Marseille'],2995469,8440,3191
,"['pdb', 'he']",8440,,,North America,https://www.bbix.net/en/,,"{'ipv4': ['101.203.72.0/24'], 'ipv6': ['2403:c780:7200:b072::/64']}",,,1186,US,,BBIX Miami,,['BroadBand Internet eXchange Miami'],,8440,3188
,"['pdb', 'he', 'pch']",8440,,,Asia-Pacific,https://www.bbix.net/en,,"{'ipv4': ['218.100.7.0/24', '218.100.9.0/24'], 'ipv6': ['2001:de8:c::/48', '2001:de8:c:2::/64']}",,138,41,JP,,BBIX Osaka,,['BroadBand Internet eXchange Osaka'],,8440,786
,"['pdb', 'he', 'pch']",8440,Singapore,Singapore,Asia-Pacific,https://www.bbix.net/en/,,"{'ipv4': ['103.231.152.0/22'], 'ipv6': ['2001:df5:b800:bb00::/64']}",,1835,42,SG,,BBIX Singapore,,['BroadBand Internet eXchange Singapore'],1880252,8440,909
,"['pdb', 'he', 'pch']",8440,Bangkok,,Asia-Pacific,https://www.bbix.net/th/,,"{'ipv4': ['103.127.88.0/23'], 'ipv6': ['2001:df7:6500:1::/64']}",,2339,921,TH,,BBIX Thailand,,"['BBIX (Thailand) Company Limited', 'BBIX-Thailand']",,8440,2467
,"['pdb', 'he', 'pch']",8440,,,Asia-Pacific,https://www.bbix.net/en,,"{'ipv4': ['218.100.6.0/24', '101.203.88.0/22', '218.100.6.0/23'], 'ipv6': ['2001:de8:c::/64']}",,137,43,JP,,BBIX Tokyo,,['BroadBand Internet eXchange Tokyo'],,8440,126
,['he'],,,Berlin,Europe,https://www.bcix.de/,13.52000,"{'ipv4': ['193.178.185.0/24'], 'ipv6': ['2001:7f8:19::/48']}",52.38000,,44,DE,,BCIX,,[],2950159,,
,['he'],,,Dhaka,Asia-Pacific,http://www.bdix.net,90.38000,"{'ipv4': ['198.32.167.0/24', '103.151.196.0/23', '202.59.208.0/24'], 'ipv6': ['2001:df3:d680::/64', '2001:de8:b:2900::/64']}",23.77000,,1103,BD,,BDIX,,[],1185241,,
