region,org_id,alternatenames,pdb_org_id,state,ix_id,url,pch_id,geo_id,city,iata,prefixes,latitude,pdb_id,country,longitude,name,address,sources,zipcode
Europe,17513,"['Asteroid Amsterdam IX', 'Asteroid Amsterdam']",17513,NH,31,https://www.asteroidhq.com/ixp-locations/1,2000,2759794,Amsterdam,,"{'ipv4': ['185.1.94.0/24'], 'ipv6': ['2001:7f8:b6::/64', '2001:7f8:b6:1::/64']}",,1812,NL,,Asteroid Amsterdam IXP,,"['pdb', 'he', 'pch']",1098 XG
Africa,17513,[],17513,Changamwe,920,https://asteroidhq.com/ixp-locations/4,2075,186301,Mombasa,"MBA, MBA2","{'ipv4': ['196.60.66.0/24'], 'ipv6': ['2001:7f8:b6:2::/64']}",,2815,KE,,Asteroid Mombasa,Mombasa RoadMiritini,"['pdb', 'he', 'pch']",
Africa,17513,[],17513,,1461,https://asteroidhq.com/ixp-locations/6,,,,,"{'ipv4': ['196.60.14.0/24'], 'ipv6': ['2001:7f8:b6:6::/64']}",,3734,KE,,Asteroid Nairobi,,"['he', 'pdb']",
Asia-Pacific,10302,"['AKL-IX', 'AKL-IX (Auckland NZ)', 'New Zealand Internet Exchange, Auckland']",10302,(None),32,http://www.ix.nz,1880,,,AKL2,"{'ipv4': ['43.243.21.0/24'], 'ipv6': ['2001:7fa:11:6::/64']}",,977,NZ,,Auckland Internet Exchange,,"['pdb', 'he', 'pch']",
Asia-Pacific,727,['APE'],727,,33,http://ape.nzix.net/,164,,,AKL,"{'ipv4': ['192.203.154.0/24'], 'ipv6': ['2001:7fa:4::/48', '2001:7fa:4:c0cb::/64']}",,97,NZ,,Auckland Peering Exchange,,"['pdb', 'pch']",
Europe,10708,['IXP et NAP d’Auvergne et du Massif Central'],10708,,34,http://www.auvernix.org,2021,3024635,Clermont-Ferrand,,"{'ipv4': ['185.1.2.0/24'], 'ipv6': ['2001:7f8:81::/64']}",45.78706,1019,FR,3.07771,AuvernIX,,"['pdb', 'he', 'pch']",
Europe,,[],,,35,http://www.b-ix.net/,,727011,Sofia,,"{'ipv4': ['185.1.30.0/24', '217.174.157.0/24'], 'ipv6': ['2001:7f8:8e::/48']}",42.65000,,BG,23.38000,B-IX Balkans,,['he'],
Europe,16462,[],16462,,36,https://baikal-ix.ru,,2023469,Irkutsk,,"{'ipv4': ['185.1.76.0/24'], 'ipv6': ['2001:7f8:a7::/48']}",,1669,RU,,BAIKAL-IX,,"['he', 'pdb']",
Asia Pacific,336,['Bayan Telecommunications Internet and Gaming Exchange'],336,,37,,,1692192,Quezon City,,"{'ipv4': ['202.78.121.0/24'], 'ipv6': []}",,154,PH,,BAYANTEL,,"['he', 'pdb']",
Europe,21284,"['BBIX Amsterdam', 'SBIX Amsterdam', 'Securebit Internet Exchange Amsterdam']",21284,,1095,"['https://www.securebit.ch', 'https://www.bbix.net/en/']",2277,"[3042073, 2759794]","['Balzers', 'Amsterdam']",,"{'ipv4': ['185.1.216.0/24', '101.203.78.0/24', '164.132.186.192/26'], 'ipv6': ['2001:7f8:d9:ffff::/64', '2001:7f8:d9:4::/64', '2403:c780:7200:b078::/64', '2001:7f8:d9:ff::/64']}","['47.06975', '52.30000']",2753,"['LI', 'NL']","['9.50809', '4.77000']",Virtual Internet Exchange Point,,"['pch', 'he', 'pdb']",
