zipcode,longitude,pdb_org_id,address,country,city,pdb_fac_id,name,num_ixs,state,fac_id,sources,clli,geo_id,latitude,alternatenames
4000,153.030416,322,"Level 8, 123 Eagle StreetBrisbane",AU,Brisbane,198,AAPT Brisbane,1,QL,118,['pdb'],,2174003,-27.467146,[]
4006,153.03099,322,"Level 1, 100 Wickham StreetFortitude Valley",AU,Brisbane,199,AAPT Fortitude Valley,1,QL,119,['pdb'],,2174003,-27.459649,[]
3000,144.956817,322,"Level 5, 530 Collins StreetMelbourne",AU,Melbourne,200,AAPT Melbourne,1,VI,120,['pdb'],,2158177,-37.817684,[]
5000,138.6013,322,"Level 1, 45 Pirie StreetAdelaide",AU,Adelaide,201,AAPT Adelaide,1,SA,121,['pdb'],,2078025,-34.926075,[]
90429,11.063356,339,Deutschherrnstraße 15-19Hochstraße 14-16,DE,Nuremberg,203,Deutschherrnkarree,1,Bavaria,122,['pdb'],,2861650,49.453955,[]
16494,17.916696,8592,Esbogatan 11Kista,SE,Stockholm,208,Digital Realty Stockholm STO1-6,10,,123,['pdb'],,2673730,59.422226,[]
117584,103.772471,353,National University of Singapore / Computer Centre2 Engineering Drive 4,SG,Singapore,211,Singapore Open Exchange (SOX),1,,124,['pdb'],,1880252,1.297541,[]
3044,4.414322,355,Vlaardingweg 62 - 415,NL,Rotterdam,212,Spaanse Kubus Rotterdam,2,,125,['pdb'],,2747891,51.930359,[]
6135KD,5.845593,358,Bergerweg 120,NL,Sittard,213,Unilogic Networks Datacenter Sittard,1,Limburg,126,['pdb'],,2747203,50.995925,[]
10600,14.482978,8089,Nad Elektrarnou 1428/47,CZ,Prague,214,CE Colo Prague,4,,127,['pdb'],,3067696,50.060164,[]
130 00,14.451122,364,Mahlerovy sady 1,CZ,Prague,215,DC Tower Zizkov CRa,2,Prague,128,['pdb'],,3067696,50.08103,[]
13000,14.475889,366,Vinohradská 190,CZ,Prague,216,GTS Telehouse Prague,2,,129,['pdb'],,3067696,50.078094,[]
14000,14.428607,368,5. května 65,CZ,Prague,217,Pragonet Telehouse Prague,,,130,['pdb'],,3067696,50.062152,[]
40599,6.86608,28858,In der Steele 43,DE,Düsseldorf,218,Arelion Dusseldorf DDF/B,2,,131,['pdb'],,2934246,51.188,[]
02110,-71.060266,373,1 Summer Street,US,Boston,219,Markley Group One Summer Street Boston,1,MA,132,['pdb'],BSTNMA,4930956,42.354692,[]
1543,6.163425,376,"43, Boulevard Pierre Frieden",LU,Luxembourg,220,BCE Colocation Luxembourg,1,Luxembourg,133,['pdb'],,2960316,49.637537,[]
2600,12.377342,10041,Sydvestvej 100Glostrup,DK,Copenhagen,222,Telia Telehouse Copenhagen,1,,134,['pdb'],,2618425,55.661921,[]
,114.246512,12354,399 Chai Wan RoadChai Wan,HK,Hong Kong,225,MEGA-i (iAdvantage Hong Kong),6,,135,['pdb'],,1819729,22.266098,[]
