clli,num_ixs,latitude,zipcode,sources,longitude,pdb_org_id,country,fac_id,pdb_fac_id,alternatenames,address,geo_id,name,state,city
,1,49.637608,2850,['pdb'],6.164559,376,LU,133,220,[],"45, Boulevard Pierre Frieden",2960316,BCE Colocation Luxembourg,,Luxembourg
,1,55.661921,2600,['pdb'],12.377342,10041,DK,134,222,[],Sydvestvej 100Glostrup,2618425,Telia Telehouse Copenhagen,,Copenhagen
,6,22.266098,,['pdb'],114.246512,12354,HK,135,225,[],399 Chai Wan RoadChai Wan,1819729,MEGA-i (iAdvantage Hong Kong),,Hong Kong
,7,43.310818,MRS1: 13003  MRS2/3: 13015,['pdb'],5.373865,8592,FR,136,226,[],"MRS1: 40 Avenue Roger SalengroMRS2/3: Port of Marseille, Gate 4; Chemin du Littoral",2995469,Digital Realty Marseille MRS1-3,,Marseille
,1,50.63768,59000,['pdb'],3.090551,365,FR,1280,230,[],72 rue Jenner,2998324,Cogent Lille,,Lille
,1,48.569149,67000,['pdb'],7.781145,11780,FR,1717,233,[],1 rue du Havre,2973783,SFR Netcenter Strasbourg,,Strasbourg
,1,52.241526,1217 ZC,['pdb'],5.169722,7200,NL,137,235,[],Koos Postemalaan 2,2754064,Mediagateway,NH,Hilversum
AMSTNL,1,52.399861,1042 AC,['pdb'],4.842597,8592,NL,138,236,[],Gyroscoopweg 60-62,2759794,"Digital Realty Amsterdam AMS1, AMS4",,Amsterdam
AMSTNL,2,52.274896,1119 PD,['pdb'],4.750866,410,NL,139,237,[],Boeing Avenue 271,2759794,Schuberg Philis Amsterdam (Schiphol Rijk),,Amsterdam
AMSTNL,1,52.29257,1438 AN,['pdb'],4.788162,4570,NL,140,238,[],Fokkerweg 300,2749063,NorthC Oude Meer,Noord-Holland,Oude Meer
,1,52.259795,1431 GE,['pdb'],4.774186,4570,NL,141,239,[],Lakenblekerstraat 13,2760134,NorthC Aalsmeer,Noord-Holland,Aalsmeer
,1,,34070,['pdb'],,365,FR,1281,252,[],189 place du 56e Régiment d'Artillerie,2992166,Cogent Montpellier,,Montpellier
LONDEN,1,51.522955,EC2A 4HB,['pdb'],-0.082993,9597,GB,142,254,[],80 Clifton Street,2643743,Redcentric London Data Centre,,London
,,59.405682,16440,['pdb'],17.943347,343,SE,143,258,[],Borgafjordsgatan 15,2673730,"STOKAB KN3, Kista",,Stockholm
,1,43.620447,31200,['pdb'],1.423103,365,FR,144,266,[],125bis ch du Sang de Serp,2972315,Cogent Toulouse,,Toulouse
CLMCOH,1,39.968171,43219,['pdb'],-82.994861,470,US,145,267,[],251 Neilston St.,4509177,Citynet Columbus,OH,Columbus
,1,55.930562,EH129LB,['pdb'],-3.295901,7980,GB,146,271,[],"The Clocktower Estate, Flassches YardSouth Gyle Crescent",2650225,Pulsant Edinburgh South Gyle,,Edinburgh
,6,51.267301,40472,['pdb'],6.81752,7459,DE,147,274,[],Am Gatherhof 44,2934246,"myLoc Datacenter DUS1, DUS2, DUS3, DUS4, DUS6, DUS7",NRW,Düsseldorf
PTLDORPB,1,45.521366,97205,['pdb'],-122.680792,29970,US,148,275,[],921 SW Washington St,5746545,The Pittock,Oregon,Portland
FRNKGE,6,50.128192,60489,['pdb'],8.601436,491,DE,149,277,[],Eschborner Landstrasse 100,2925533,NTT Frankfurt 1 Data Center (FRA1),Hessen,Frankfurt
,11,1.295229,139964,['pdb'],103.789842,2,SG,150,282,[],20 Ayer Rajah Crescent#05-05/08,1880252,Equinix SG1 - Singapore,,Singapore
,2,41.876212,60605,['pdb'],-87.631453,9314,US,1210,283,[],427 S. La Salle4th Floor,4887398,365 Data Centers Chicago (CH6),IL,Chicago
WASHDC12,2,38.902918,20005,['pdb'],-77.029149,34,US,151,286,[],"1275 K Street, NWSuite 700",4140963,"CoreSite - Washington,DC (DC1)",DC,Washington
FRNKGE,1,50.1009,60326,['pdb'],8.629585,514,DE,152,290,[],Rebstöcker Straße 55,2925533,aixit Frankfurt,Hessen,Frankfurt
FRNKGE,1,50.101713,60326,['pdb'],8.63429,516,DE,153,291,[],Mainzer Landstrasse 351-353,2925533,NewColo Frankfurt,,Frankfurt
TORIIT,2,45.090688,10149,['pdb'],7.660825,7507,IT,154,294,[],Corso Svizzera 185Building 3,3165524,ITGate PdF (TRN1/TRN2),,Turin
,1,50.872026,1930,['pdb'],4.503629,30458,BE,155,295,[],"Mercuriusstraat 30, Nossegem",2800866,AtlasEdge DC Brussels 1&2,,Brussels
,1,47.51796,1132,['pdb'],19.055712,533,HU,156,300,[],Victor Hugo utca 18-22.,3054643,BIX Building (Victor Hugo street),,Budapest
,2,47.448989,1087,['pdb'],19.107458,536,HU,157,301,[],Asztalos Sandor utca 13.,3054643,Dataplex Budapest,,Budapest
PARSFR,3,48.927166,93200,['pdb'],2.350664,2,FR,158,306,[],"Rue Ambroise Croizat, 114Saint-Denis",2988507,"Equinix PA2 - Paris, Saint-Denis",,Paris
TOROON,1,43.644632,M5J 2N1,['pdb'],-79.384228,558,CA,159,316,[],151 Front St. W.Suite 800,6167865,Neutral Data Toronto,ON,Toronto
LSANCA,1,34.048275,90017,['pdb'],-118.256985,7,US,160,317,[],626 Wilshire Blvd #600,5368361,Telehouse - Los Angeles,CA,Los Angeles
,2,52.452868,12347,['pdb'],13.428412,682,DE,161,331,[],Gradestrasse 60,2950159,Level(3) Berlin,,Berlin
,4,38.625536,63101,['pdb'],-90.195238,13880,US,162,332,[],900 Walnut - Netrality Data Center Meet Me Room900 Walnut Street,4407066,Netrality St. Louis - 900 Walnut,MO,St. Louis
,3,33.921239,90245-3411,['pdb'],-118.383778,2,US,163,333,[],445 North Douglas Street,5345860,"Equinix LA3/LA4 - Los Angeles, El Segundo",CA,El Segundo
,4,47.38338,8048,['pdb'],8.495621,31741,CH,164,336,[],Badenerstrasse 569,2657896,colozueri.ch Zurich,ZH,Zurich
,1,-6.208937,10220,['pdb'],106.820607,597,ID,1909,340,[],"MidPlaza 2, 8th Floor. Jl. Jend. Sudirman 10-11",1642911,Biznet Jakarta,,Jakarta
